ID,TARGET
2,0.037252065
5,0.042507008
6,0.008924419
7,0.021552734
9,0.0027846023
11,0.1766886
12,0.036056258
15,0.115097225
16,0.03567961
17,0.054499786
19,0.022882653
21,0.011980708
22,0.043051403
24,0.011393407
27,0.0069222297
28,0.03158541
30,0.020695198
33,0.0027846023
35,0.011312554
37,0.023221469
38,0.022882653
40,0.1766886
41,0.016540024
44,0.031269595
46,0.047991175
47,0.028640283
48,0.0027846023
50,0.0027846023
52,0.18040957
53,0.016540024
55,0.035631776
57,0.0027846023
58,0.017822202
59,0.016540024
62,0.037252065
63,0.011312554
64,0.016448647
65,0.037252065
67,0.011342255
69,0.054499786
70,0.0027846023
71,0.04078081
72,0.010202532
73,0.00460489
76,0.018445276
78,0.0028438738
79,0.0364483
81,0.009838256
85,0.011393407
86,0.0027846023
89,0.016448647
94,0.037348226
96,0.0027846023
97,0.028619856
98,0.002014279
99,0.021552734
100,0.1938594
103,0.16877298
104,0.0027846023
108,0.0474527
110,0.0027846023
112,0.030038383
114,0.016540024
116,0.026696295
117,0.010023185
119,0.051260743
120,0.0033177761
121,0.002014279
123,0.038340192
124,0.027617225
126,0.002014279
128,0.011342255
129,0.0436217
133,0.030810088
138,0.027617225
147,0.016540024
149,0.0946608
158,0.0027846023
160,0.008120495
164,0.05752901
167,0.048617836
168,0.023445504
174,0.0125626465
181,0.036288217
185,0.01542721
187,0.008315582
189,0.028530603
190,0.029519284
194,0.0028438738
197,0.029010091
198,0.021552734
201,0.013595675
205,0.010216993
208,0.029924039
211,0.011393407
216,0.053735502
219,0.03985877
223,0.01325348
224,0.16877298
226,0.016540024
229,0.017509246
230,0.025217382
237,0.060360968
238,0.021552734
240,0.05809353
243,0.0031298895
245,0.18264873
246,0.17380749
247,0.0136444755
248,0.0144249415
249,0.0027846023
250,0.1766886
251,0.002014279
255,0.06894823
256,0.043051403
257,0.039001986
260,0.1938594
261,0.010202532
263,0.17513303
264,0.16436605
267,0.014811569
268,0.02870999
272,0.027533635
274,0.030448042
275,0.002014279
277,0.16877298
278,0.16877298
280,0.02035511
281,0.04073389
282,0.034272775
283,0.011393407
284,0.039658483
286,0.014420474
290,0.018029038
291,0.029705675
293,0.035631776
295,0.073038265
297,0.0027846023
298,0.16438848
300,0.015115266
304,0.0032562113
305,0.012241033
308,0.006958205
309,0.008120495
310,0.010202532
312,0.029705675
313,0.17513303
315,0.018599328
317,0.044744253
318,0.016540024
321,0.021797946
323,0.0672041
325,0.042507008
326,0.016540024
327,0.011393407
328,0.04630959
329,0.011342255
330,0.010307692
331,0.057349138
334,0.0672041
335,0.015115266
336,0.047349352
337,0.010235792
338,0.021552734
339,0.016540024
341,0.04369153
343,0.029010091
346,0.008924419
348,0.002014279
350,0.04349096
351,0.010202532
352,0.016540024
357,0.05752901
358,0.011312554
360,0.013098186
361,0.016540024
364,0.03370733
365,0.047349352
366,0.037252065
367,0.027405515
368,0.012910291
370,0.002014279
372,0.0033177761
376,0.0027846023
377,0.021453727
379,0.019019265
380,0.016540024
381,0.066002406
385,0.011312554
386,0.016448647
389,0.048611507
391,0.042507008
392,0.002014279
393,0.011393407
395,0.027617225
396,0.008120495
397,0.0027846023
398,0.03426794
399,0.022882653
400,0.01191656
401,0.0323469
403,0.012133708
405,0.05976424
406,0.022882653
409,0.016540024
411,0.027000116
413,0.009838256
418,0.010216993
419,0.021552734
422,0.016540024
424,0.1766886
425,0.029838005
427,0.0027846023
430,0.0027846023
431,0.016540024
434,0.016540024
435,0.016448647
437,0.16438848
438,0.010216993
439,0.1938594
442,0.011312554
446,0.011312554
450,0.03512001
451,0.016540024
452,0.022882653
454,0.0027846023
455,0.010216993
463,0.035631776
464,0.011312554
465,0.0027846023
467,0.17513303
468,0.0339284
470,0.039001986
472,0.039107032
473,0.021552734
475,0.003477201
476,0.01563369
479,0.016540024
481,0.00450731
483,0.037252065
484,0.037652567
486,0.041553866
487,0.0027846023
491,0.01737227
494,0.008120495
495,0.01843916
497,0.02870999
498,0.010023185
499,0.011393407
503,0.016540024
504,0.062153365
505,0.01563369
506,0.009045616
507,0.038758654
508,0.22806147
509,0.035631776
510,0.0026013758
511,0.029010091
512,0.05976424
516,0.010554039
518,0.027617225
519,0.03770723
520,0.0069222297
521,0.002014279
522,0.008704987
524,0.1766886
525,0.016410451
526,0.002014279
528,0.016540024
529,0.028619856
531,0.039001986
532,0.16877298
534,0.04349096
536,0.028640283
539,0.05752901
540,0.035281263
541,0.0027846023
542,0.037348226
545,0.027617225
546,0.002014279
552,0.023913782
556,0.0027846023
557,0.002014279
559,0.030156614
562,0.012133708
563,0.012071242
565,0.036288217
569,0.0027846023
570,0.07089146
574,0.02989335
575,0.01563369
585,0.008120495
589,0.01485452
590,0.043210946
592,0.021552734
593,0.029536413
594,0.030039078
595,0.016540024
597,0.018445276
601,0.008924419
603,0.011393407
604,0.0027846023
605,0.029705675
607,0.0027846023
608,0.050023224
610,0.021552734
612,0.019960493
613,0.042507008
615,0.020827495
616,0.27507982
617,0.01737227
619,0.027617225
620,0.16877298
621,0.002014279
624,0.04255186
625,0.012921659
628,0.0027846023
629,0.26307914
630,0.016448647
632,0.06367824
634,0.002014279
637,0.035631776
638,0.03567961
642,0.01542721
643,0.016410451
644,0.052521568
646,0.0027846023
655,0.050027736
660,0.021552734
664,0.03674762
665,0.052282054
666,0.0027846023
670,0.27507982
671,0.1766886
672,0.012241033
675,0.002014279
676,0.027617225
677,0.016540024
678,0.023593368
680,0.002014279
683,0.18040957
684,0.035631776
685,0.041553866
691,0.028438345
693,0.0027846023
696,0.008924419
698,0.018797306
699,0.016540024
700,0.03567961
703,0.015946075
704,0.09864274
705,0.008120495
707,0.16877298
709,0.034516644
711,0.1938594
713,0.016540024
716,0.0027846023
719,0.0027846023
721,0.0125626465
722,0.017303621
723,0.016992247
724,0.008315582
727,0.002014279
728,0.021552734
729,0.01563369
733,0.016540024
736,0.015666157
739,0.037252065
742,0.1938594
743,0.045927018
744,0.0026013758
745,0.1766886
747,0.012330344
749,0.027405515
750,0.021905374
751,0.034455825
752,0.021112481
755,0.010921905
756,0.0075546415
762,0.014580002
763,0.021552734
764,0.05232213
765,0.01737227
766,0.0125626465
769,0.021905374
770,0.048617836
773,0.008120495
774,0.037252065
776,0.037252065
777,0.011342255
778,0.017842026
779,0.016540024
780,0.0027846023
781,0.04255186
786,0.027915528
788,0.01191656
794,0.037348226
796,0.1938594
801,0.05790737
802,0.01542721
803,0.00450731
804,0.002014279
805,0.006958205
809,0.055545714
810,0.16877298
817,0.011393407
819,0.01570965
821,0.008120495
824,0.16877298
825,0.0218093
826,0.16438848
830,0.012910291
831,0.038758654
832,0.0125626465
833,0.023913782
837,0.016540024
839,0.002014279
840,0.010202532
841,0.037252065
842,0.002014279
843,0.0218093
844,0.0380916
845,0.011312554
848,0.03065666
853,0.06656193
854,0.0027846023
855,0.0027846023
856,0.038758654
861,0.014213724
865,0.016540024
866,0.0027846023
867,0.035624467
870,0.008924419
871,0.115097225
872,0.016540024
873,0.016540024
874,0.02603583
875,0.003477201
876,0.011980708
879,0.016540024
880,0.0027846023
883,0.021905374
884,0.017509246
886,0.04255186
890,0.002014279
892,0.021552734
893,0.037252065
894,0.011342255
895,0.037348226
896,0.022882653
897,0.0027846023
899,0.115097225
900,0.0218093
901,0.018445276
902,0.17513303
905,0.018445276
912,0.11282841
914,0.18040957
915,0.032801002
917,0.07698146
918,0.01563369
919,0.035631776
921,0.003477201
922,0.02512064
923,0.010202532
926,0.002014279
929,0.010202532
930,0.008120495
931,0.048111856
937,0.0027846023
938,0.032058213
939,0.037252065
941,0.037252065
946,0.027405515
947,0.061301973
950,0.009601591
951,0.002014279
952,0.035631776
953,0.030314488
954,0.0027846023
955,0.016540024
956,0.26307914
957,0.023759454
960,0.029705675
963,0.18040957
966,0.028640283
969,0.022882653
971,0.003477201
972,0.0027846023
975,0.08228318
980,0.017704494
982,0.026242107
983,0.0027846023
985,0.0364483
987,0.0069222297
988,0.010216993
991,0.011393407
992,0.0027846023
995,0.16877298
996,0.021453727
998,0.002014279
1001,0.17380749
1002,0.008120495
1004,0.016540024
1005,0.12307265
1010,0.0027846023
1011,0.010307692
1012,0.0027846023
1013,0.036288217
1014,0.008120495
1015,0.039105814
1016,0.011393407
1022,0.0027846023
1023,0.037252065
1024,0.0027846023
1025,0.021552734
1026,0.115097225
1028,0.011342255
1029,0.030783676
1032,0.16877298
1034,0.073038265
1036,0.021552734
1037,0.008059666
1039,0.0672041
1042,0.016540024
1045,0.016540024
1046,0.028640283
1050,0.00450731
1052,0.010027548
1055,0.016540024
1057,0.021760171
1058,0.0027846023
1060,0.0027846023
1062,0.0125626465
1063,0.016540024
1064,0.037348226
1065,0.027915528
1066,0.014381984
1067,0.16877298
1068,0.024162944
1070,0.17380749
1072,0.021905374
1077,0.17380749
1078,0.011312554
1079,0.002014279
1081,0.027617225
1082,0.17513303
1093,0.028973654
1094,0.016540024
1102,0.039105814
1103,0.053735502
1106,0.0027846023
1107,0.1766886
1112,0.029705675
1113,0.002014279
1114,0.00877959
1116,0.016410451
1118,0.08843579
1120,0.021552734
1121,0.037252065
1128,0.008315582
1130,0.115097225
1132,0.008120495
1135,0.0027846023
1138,0.055901192
1139,0.010921905
1141,0.021552734
1143,0.16877298
1146,0.065642625
1148,0.016540024
1149,0.028640283
1151,0.0125626465
1152,0.021552734
1153,0.008120495
1155,0.010990243
1157,0.0027846023
1160,0.017833281
1161,0.009838256
1162,0.01542721
1164,0.053735502
1168,0.058331896
1169,0.0027846023
1174,0.1582076
1176,0.009838256
1177,0.16438848
1178,0.027617225
1180,0.053246636
1181,0.011448563
1182,0.051665332
1185,0.0125626465
